id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
16273|e00fce685f262f4ea1486367|2022-12-15 02:20:08.940565+00|2022-12-15 02:20:08.91+00|68|||temp
16274|250019001247343339383037|2022-12-15 02:22:44.597566+00|2022-12-15 02:22:44.575+00|83.428568|||tempA0
16275|250019001247343339383037|2022-12-15 02:22:44.810265+00|2022-12-15 02:22:44.791+00|85.024182|||tempA4
16276|250019001247343339383037|2022-12-15 02:22:44.811602+00|2022-12-15 02:22:44.791+00||4||wifi
16277|e00fce685f262f4ea1486367|2022-12-15 02:25:08.976249+00|2022-12-15 02:25:08.95+00|68|||temp
16278|250019001247343339383037|2022-12-15 02:27:44.610476+00|2022-12-15 02:27:44.58+00|83.86373|||tempA0
16279|250019001247343339383037|2022-12-15 02:27:44.779043+00|2022-12-15 02:27:44.758+00||4||wifi
16280|250019001247343339383037|2022-12-15 02:27:44.782466+00|2022-12-15 02:27:44.758+00|85.169236|||tempA4
16281|e00fce685f262f4ea1486367|2022-12-15 02:30:09.018118+00|2022-12-15 02:30:08.986+00|68|||temp
16282|250019001247343339383037|2022-12-15 02:32:44.630257+00|2022-12-15 02:32:44.564+00|83.573633|||tempA0
16283|250019001247343339383037|2022-12-15 02:32:44.799031+00|2022-12-15 02:32:44.781+00|84.58901|||tempA4
16284|250019001247343339383037|2022-12-15 02:32:44.804752+00|2022-12-15 02:32:44.781+00||4||wifi
16285|e00fce685f262f4ea1486367|2022-12-15 02:35:09.08034+00|2022-12-15 02:35:09.039+00|68|||temp
16286|250019001247343339383037|2022-12-15 02:37:44.576937+00|2022-12-15 02:37:44.556+00|84.153848|||tempA0
16287|250019001247343339383037|2022-12-15 02:37:44.921276+00|2022-12-15 02:37:44.886+00|85.604398|||tempA4
16288|250019001247343339383037|2022-12-15 02:37:44.924298+00|2022-12-15 02:37:44.887+00||4||wifi
16289|e00fce685f262f4ea1486367|2022-12-15 02:40:09.058888+00|2022-12-15 02:40:09.037+00|68|||temp
16290|250019001247343339383037|2022-12-15 02:42:44.60845+00|2022-12-15 02:42:44.588+00|85.169236|||tempA0
16291|250019001247343339383037|2022-12-15 02:42:44.876835+00|2022-12-15 02:42:44.857+00|84.879118|||tempA4
16292|250019001247343339383037|2022-12-15 02:42:44.88025+00|2022-12-15 02:42:44.857+00||4||wifi
16293|e00fce685f262f4ea1486367|2022-12-15 02:45:09.181533+00|2022-12-15 02:45:09.156+00|68|||temp
16294|250019001247343339383037|2022-12-15 02:47:44.574923+00|2022-12-15 02:47:44.555+00|84.734064|||tempA0
